poi,POINT_X,POINT_Y
1,290097.9422,2783815.342
2,290086.2148,2783827.393
3,290072.9499,2783839.735
4,290062.0236,2783850.809
5,290048.5278,2783863.316
6,290029.927,2783882.153
7,290010.3015,2783899.498
8,289991.1216,2783918.596
9,289968.9429,2783940.315
10,289946.0256,2783962.755
11,289920.5119,2783986.983
12,289895.4385,2784012.676
13,289865.0266,2784040.857
14,289826.1397,2784078.48
15,289796.6693,2784106.587
16,289760.756,2784141.817
17,289729.7864,2784170.9
18,289700.6004,2784198.681
19,289670.0173,2784228.965
20,289659.5263,2784240.518
21,289636.7972,2784262.055
22,289616.2651,2784281.521
23,289591.5983,2784305.797
24,289567.0048,2784329.678
25,289542.4792,2784351.863
26,289532.1676,2784362.75
27,289510.4949,2784383.087
28,289481.5334,2784411.705
29,289458.9415,2784433.35
30,289431.0519,2784459.574
31,289402.5803,2784486.733
32,289377.355,2784512.237
33,289349.9861,2784539.398
34,289328.0366,2784561.23
